Ukuran Data,Min Manual,Max Manual,Min Iteratif,Max Iteratif,Waktu Iteratif (ms),Akurasi Iteratif (%),Min Rekursif,Max Rekursif,Waktu Rekursif (ms),Akurasi Rekursif (%),Min Binary Search,Max Binary Search,Waktu Binary Search (ms),Akurasi Binary Search (%)
10,26,9970,26,9970,0.016450881958007812,100,26,9970,0.02002716064453125,100,26,9970,0.008106231689453125,100
20,339,8628,339,8628,0.01049041748046875,100,339,8628,0.013828277587890625,100,339,8628,0.005245208740234375,100
100,169,9838,169,9838,0.018596649169921875,100,169,9838,0.04172325134277344,100,169,9838,0.013828277587890625,100
500,3,9959,3,9959,0.04172325134277344,100,3,9959,0.19121170043945312,100,3,9959,0.04887580871582031,100
1000,8,9993,8,9993,0.06628036499023438,100,8,9993,0.4189014434814453,100,8,9993,0.1475811004638672,100
5000,2,9998,2,9998,0.26535987854003906,100,2,9998,1.7256736755371094,100,2,9998,0.5500316619873047,100
10000,1,9999,1,9999,0.4115104675292969,100,1,9999,3.2813549041748047,100,1,9999,1.1599063873291016,100
